ident,latitude_deg,longitude_deg,term
ESNX,65.5903,19.2819,z
BIVH,65.5569,-19.4281,z
AK02,65.5399,-161.062,z
USMM,65.4809,72.6989,z
BIKJ,65.467,-21.95,z
BIRE,65.4526,-22.2061,z
5QC,65.4059,-164.656,z
20K,65.354,-149.762,z
CYVQ,65.2816,-126.798,z
83AK,65.2565,-148.83,z
K29,64.8979,-163.703,z
AK52,64.8889,-147.536,z
BIHI,64.8861,-19.4925,z
2Z5,64.8329,-147.848,z
3Z1,64.8317,-166.132,z
AK28,64.814,-147.919,z
MTF,64.8068,-147.762,z
BIKA,64.7789,-22.2569,z
5AK2,64.7307,-147.348,z
BIND,64.7206,-18.0667,z
BIKE,64.705,-19.4106,z
BIHZ,64.6997,-20.8836,z
7AK0,64.6474,-151.81,z
ESNS,64.6248,21.0769,z
ULAA,64.6003,40.7167,z
PAOM,64.5122,-165.445,z
76AK,64.4675,-144.921,z
UHMD,64.3781,-173.243,z
CYBK,64.2989,-96.0778,z
BIMS,64.1811,-21.7078,z
BISV,64.1158,-18.7833,z
BISS,64.0608,-21.5747,z
AK09,64.0496,-145.502,z
CYDA,64.0431,-139.128,z
2Z3,64.042,-148.863,z
BIVA,64.0331,-20.6511,z
9AK,64.0257,-148.522,z
USHB,63.921,65.0305,z
BIGH,63.8533,-20.2628,z
BIHL,63.8358,-20.3775,z
BIMK,63.7142,-19.8792,z
ENOL,63.6989,9.604,z
BITM,63.69,-19.5631,z
CYMA,63.6164,-135.868,z
5BK,63.5351,-145.861,z
BIVM,63.4243,-20.2789,z
BIVI,63.4217,-18.8883,z
ESNO,63.4083,18.99,z
TSG,63.3744,-143.336,z
AK40,63.2292,-154.76,z
CYWY,63.2094,-123.437,z
USRO,63.1833,75.27,z
CEM3,63.1317,-117.246,z
4AK5,62.9899,-144.48,z
UHMS,62.9208,152.4228,z
PATL,62.8944,-155.977,z
AK61,62.6996,-148.907,z
K40,62.6562,-160.205,z
CFS7,62.6194,-131.279,z
3AK3,62.5638,-150.221,z
UERR,62.5347,114.039,z
ESNN,62.5281,17.4439,z
9AK0,62.5121,-143.235,z
FLT,62.4526,-157.989,z
CYXQ,62.4103,-140.867,z
1AK2,62.4009,-146.013,z
8KA,62.2933,-153.362,z
13S,62.2829,-146.519,z
8AK1,62.2803,-145.363,z
CZFA,62.2075,-133.376,z
CFC9,62.2033,-133.393,z
USRK,62.1904,74.5338,z
PAHC,62.1883,-159.775,z
AK19,62.1739,-150.064,z
58A,62.1134,-146.041,z
PAMO,62.0954,-163.682,z
UEEE,62.0933,129.771,z
6AK,62.0841,-152.718,z
4Z5,62.0072,-141.181,z
ULPB,61.8852,34.1547,z
PASP,61.812,-147.507,z
AK08,61.7899,-150.106,z
3AK7,61.7656,-150.339,z
CYFS,61.7602,-121.237,z
AK90,61.7447,-150.115,z
2X2,61.744,-150.059,z
AK67,61.7386,-150.073,z
78AK,61.7331,-150.526,z
AK69,61.7293,-150.098,z
MFN,61.7213,-150.047,z
AK68,61.7203,-150.054,z
UUYT,61.69,53.71,z
78Z,61.685,-149.98,z
1AK8,61.6769,-151.387,z
97AK,61.664,-149.254,z
3AK8,61.6625,-149.392,z
